Time,IRSensor,XAxis,YAxis,ZAxis,Velocity,acc_1D
38.79,3.144846449,0.006621075,-0.028472962,-0.013526176,6.80075188,-0.019624981
38.791,3.142299692,0.006609352,-0.041157374,-0.033754073,6.80075188,-0.040878766
38.792,3.144846449,0.0091449,-0.020729354,-0.028509786,6.80075188,-0.026333269
38.792,3.144846449,0.009132574,-0.033417632,-0.043641582,6.80075188,-0.047667303
38.793,3.152486721,0.011667521,-0.020635293,-0.033301273,6.80075188,-0.033433221
38.793,3.139752935,0.006559441,-0.030780265,-0.048431395,6.80075188,-0.046740082
38.794,3.152486721,0.014188917,-0.0205492,-0.040636615,6.80075188,-0.02983272
38.794,3.144846449,0.001437503,-0.023056485,-0.037935352,6.80075188,-0.041017713
38.794,3.152486721,0.014161494,-0.012829557,-0.032686265,6.80075188,-0.018656062
38.795,3.144846449,0.009052149,-0.017888272,-0.029983641,6.80075188,-0.029140215
38.796,3.152486721,0.011585198,-0.012760062,-0.024733282,6.80075188,-0.021672977
38.796,3.137206178,0.009022772,-0.012728505,-0.019482339,6.80075188,-0.026288877
38.796,3.149939964,0.009007581,-0.010151834,-0.032060754,6.80075188,-0.030535823
38.797,3.137206178,0.006444472,-0.007577348,-0.016620274,6.80075188,-0.018858701
38.798,3.144846449,-0.001214128,-0.012646818,-0.029197745,6.80075188,-0.033473603
38.798,3.144846449,0.008959947,0.005206809,-0.01120931,6.80075188,-0.002097027
38.799,3.142299692,-0.00379451,-0.010056155,-0.016144649,6.80075188,-0.029660326
38.799,3.144846449,0.008926437,0.00015121,-0.018532562,6.80075188,-0.016654537
38.8,3.139752935,-0.006376295,-0.015116276,-0.015825939,6.80075188,-0.033568374
38.8,3.152486721,0.003796346,-0.012555235,-0.018213353,6.80075188,-0.029608081
38.8,3.144846449,0.001230753,-0.009996483,-0.018053464,6.80075188,-0.029038565
38.801,3.144846449,0.00121237,-0.009987332,-0.022987689,6.80075188,-0.034275436
38.802,3.137206178,0.001193608,-0.007433244,-0.010091963,6.80075188,-0.025732305
38.802,3.142299692,-0.006468235,-0.009976039,-0.02012033,6.80075188,-0.035688501
38.802,3.144846449,0.008797675,0.007856884,-0.01486596,6.80075188,-0.008866916
38.803,3.142299692,-0.003960101,-0.00233241,-0.012158767,6.80075188,-0.025305309
38.804,3.152486721,0.003662331,0.005306704,-0.011998818,6.80075188,-0.016542987
38.804,3.137206178,0.003641636,0.010396183,-0.009291898,6.80075188,-0.007315138
38.804,3.149939964,0.001072979,0.012935966,-0.009132308,6.80075188,-0.009143118
38.805,3.144846449,-0.009138804,0.020567867,-0.006425861,6.80075188,-0.006409361
38.806,3.144846449,-0.001517969,0.0103665,-0.011361109,6.80075188,-0.009732132
38.806,3.142299692,-0.001540257,0.025635288,0.004080277,6.80075188,0.016150394
38.806,3.144846449,-0.009205653,0.015429012,0.004238492,6.80075188,-0.002308685
38.807,3.144846449,0.008604264,0.030692876,0.009490474,6.80075188,0.031718099
38.808,3.144846449,-0.004157109,0.02302893,0.012194813,6.80075188,0.010767106
38.808,3.152486721,0.006009271,0.035740592,0.014898563,6.80075188,0.032227079
38.808,3.137206178,0.008532507,0.038260712,0.020148808,6.80075188,0.034668915
38.809,3.149939964,0.008507755,0.043325615,0.022851245,6.80075188,0.040062883
38.81,3.142299692,0.008482584,0.050935261,0.035741441,6.80075188,0.055902175
38.81,3.144846449,0.008456996,0.043258863,0.023159574,6.80075188,0.040877106
38.81,3.144846449,0.008430983,0.055957992,0.036048109,6.80075188,0.053671447
38.811,3.144846449,0.000761826,0.043181994,0.020917348,6.80075188,0.030057859
38.812,3.152486721,0.016020416,0.058423327,0.031256871,6.80075188,0.05163756
38.812,3.137206178,0.003255265,0.050736765,0.016124105,6.80075188,0.032920576
38.812,3.149939964,0.015965432,0.048142203,0.018820154,6.80075188,0.042721822
38.813,3.137206178,0.005747004,0.042997818,0.01642081,6.80075188,0.036466231
38.814,3.147393207,0.010813601,0.037850907,0.006378891,6.80075188,0.032589883
38.814,3.134659421,-0.001953242,0.027606918,0.006524226,6.80075188,0.018843617
38.814,3.142299692,0.003112503,0.014813161,0.004121131,6.80075188,0.014052394
38.815,3.144846449,0.003082666,0.009658616,0.001716664,6.80075188,0.012514772
38.816,3.144846449,0.003052419,-0.020971049,-0.008330596,6.80075188,-0.016095362
38.816,3.144846449,-0.007168571,-0.033772449,-0.003096569,6.80075188,-0.034673687
38.816,3.144846449,-0.009747245,-0.064407185,-0.020788223,6.80075188,-0.076255027
38.817,3.144846449,-0.009778781,-0.064477336,-0.013010187,6.80075188,-0.074221834
38.818,3.137206178,-0.007263166,-0.082380813,-0.030705059,6.80075188,-0.107769864
38.818,3.149939964,0.000347184,-0.074814219,-0.022930334,6.80075188,-0.088010465
38.818,3.139752935,-0.007328345,-0.074891912,-0.043175744,6.80075188,-0.110192999
38.819,3.149939964,-0.002266403,-0.072424819,-0.040498789,6.80075188,-0.094713679
38.82,3.137206178,-0.012490341,-0.072507487,-0.060747814,6.80075188,-0.1179078
38.82,3.147393207,0.000213498,-0.067498083,-0.058074572,6.80075188,-0.102184773
38.82,3.137206178,-0.012558832,-0.062491159,-0.063044662,6.80075188,-0.109184296
38.821,3.149939964,0.005239323,-0.057486659,-0.062922472,6.80075188,-0.093524484
38.822,3.144846449,-0.004986252,-0.05503186,-0.055160967,6.80075188,-0.09520339
38.822,3.144846449,7.32e-05,-0.062768482,-0.049948656,6.80075188,-0.090350005
38.822,3.147393207,3.71e-05,-0.055223961,-0.039644247,6.80075188,-0.081116025
38.823,3.142299692,0.002548182,-0.080796161,-0.04971903,6.80075188,-0.10680706
38.824,3.144846449,0.002511274,-0.075803636,-0.034324777,6.80075188,-0.096891809
38.824,3.142299692,-7.36e-05,-0.093738769,-0.046951215,6.80075188,-0.123100786
38.824,3.149939964,0.015174129,-0.083656401,-0.036655846,6.80075188,-0.100946059
38.825,3.144846449,0.00494573,-0.088859924,-0.034004259,6.80075188,-0.102396093
38.826,3.144846449,0.020192661,-0.073687671,-0.031355091,6.80075188,-0.074380897
38.826,3.144846449,0.007415872,-0.076348544,-0.028708429,6.80075188,-0.087368534
38.826,3.149939964,0.017566846,-0.058633607,-0.028611418,6.80075188,-0.06785249
38.827,3.139752935,0.0098844,-0.046015466,-0.02342274,6.80075188,-0.060214694
38.828,3.147393207,0.007296728,-0.025757762,-0.020783788,6.80075188,-0.053748849
38.828,3.134659421,0.007256221,-0.023333089,-0.0130533,6.80075188,-0.039649674
