Time,IRSensor,XAxis,YAxis,ZAxis,Velocity,acc_1D
12.662,3.384241627,-0.003035335,-0.015451452,-0.031905429,3.949781659,-0.029698262
12.662,3.384241627,0.006904734,-0.01096931,-0.032104907,3.949781659,-0.020327807
12.663,3.384241627,0.006654522,-0.006491715,-0.027212104,3.949781659,-0.018242434
12.664,3.381694869,0.006404345,-0.004565809,-0.032509793,3.949781659,-0.025849509
12.664,3.384241627,0.006154256,-0.002644235,-0.027620959,3.949781659,-0.017383168
12.664,3.384241627,0.003356715,-0.003274133,-0.027828339,3.949781659,-0.018495768
12.665,3.384241627,0.003106887,-0.003908159,-0.028037692,3.949781659,-0.017435875
12.666,3.384241627,0.000309671,-0.004546175,-0.025701877,3.949781659,-0.017347936
12.666,3.384241627,0.002607822,-0.007735323,-0.020820883,3.949781659,-0.015080866
12.667,3.384241627,-0.00018891,-0.008381001,-0.02358322,3.949781659,-0.019726209
12.667,3.384241627,0.002109792,-0.011577593,-0.023800359,3.949781659,-0.020777214
12.668,3.386788384,0.001861229,-0.014777736,-0.026566553,3.949781659,-0.025095959
12.668,3.384241627,0.001613008,-0.012886796,-0.026787537,3.949781659,-0.030236351
12.668,3.381694869,0.003912748,-0.013546442,-0.029557553,3.949781659,-0.036109354
12.669,3.384241627,0.006212916,-0.011662036,-0.024688094,3.949781659,-0.027914926
12.67,3.384241627,0.003418376,-0.009780721,-0.0274619,3.949781659,-0.031033808
12.67,3.384241627,0.003171896,-0.007902375,-0.030237589,3.949781659,-0.031613884
12.67,3.384241627,0.00292594,-0.006026896,-0.033015141,3.949781659,-0.030866724
12.671,3.384241627,0.002680541,-0.006701413,-0.030700288,3.949781659,-0.034119893
12.672,3.384241627,0.002435729,-0.002284032,-0.028387282,3.949781659,-0.034215767
12.672,3.386788384,-0.002903621,-0.002963667,-0.033717478,3.949781659,-0.047546578
12.672,3.384241627,-0.00314718,-0.003645687,-0.026313855,3.949781659,-0.048203367
12.673,3.386788384,-0.003390058,-0.004329968,-0.021459149,3.949781659,-0.050466046
12.674,3.384241627,-0.001084655,-0.002469126,-0.019153343,3.949781659,-0.043136676
12.674,3.386788384,-0.001326081,-0.003157564,-0.011755047,3.949781659,-0.034951105
12.674,3.384241627,-0.001566734,-0.003847895,-0.009452746,3.949781659,-0.03034968
12.675,3.384241627,0.00074099,-0.004540009,-0.004605048,3.949781659,-0.028441382
12.676,3.379148112,0.000501992,-0.012875554,0.000240936,3.949781659,-0.038312388
12.676,3.379148112,0.000263869,-0.016118122,0.005085232,3.949781659,-0.038208557
12.676,3.379148112,-0.002520929,-0.016814838,0.007380728,3.949781659,-0.036418993
12.677,3.376601355,-0.002757224,-0.020060102,0.009674571,3.949781659,-0.03798058
12.678,3.376601355,-0.008087699,-0.020759263,0.011966788,3.949781659,-0.040464685
12.678,3.379148112,-0.010869589,-0.021459463,0.014257407,3.949781659,-0.044184313
12.678,3.379148112,-0.011102883,-0.019613328,0.019093563,3.949781659,-0.040551055
12.679,3.376601355,-0.013882696,-0.020315236,0.026475293,3.949781659,-0.040621805
12.68,3.376601355,-0.011566271,-0.015923293,0.036402607,3.949781659,-0.026255287
12.68,3.379148112,-0.011796309,-0.011531895,0.046328405,3.949781659,-0.013848751
12.68,3.376601355,-0.009477631,-0.009688183,0.053705594,3.949781659,-0.004689722
12.681,3.376601355,-0.012252935,-0.005297489,0.063628451,3.949781659,0.006960271
12.682,3.379148112,-0.012479469,-0.00345423,0.07100274,3.949781659,0.016922385
12.682,3.379148112,-0.010157197,-0.001611015,0.07582849,3.949781659,0.033466572
12.683,3.376601355,-0.007833664,0.012968581,0.073011472,3.949781659,0.047471714
12.683,3.368961083,-0.008056416,0.012264846,0.07783449,3.949781659,0.045989014
12.684,3.371507841,-0.003182703,0.014108689,0.085203306,3.949781659,0.056621902
