Time,IRSensor,XAxis,YAxis,ZAxis,Velocity,acc_1D
86.813,3.368961083,-0.003986276,0.003789793,-0.04226907,9.93956044,-0.065051535
86.814,3.368961083,-0.006527855,0.011189866,-0.032160478,9.93956044,-0.053181964
86.814,3.368961083,-0.011616708,0.013492023,-0.027145324,9.93956044,-0.048340719
86.814,3.368961083,-0.011610124,0.010696312,-0.024676483,9.93956044,-0.044881961
86.815,3.368961083,-0.009055684,0.005350049,-0.019659688,9.93956044,-0.047836671
86.816,3.368961083,-0.003953405,0.005095058,-0.012094917,9.93956044,-0.044167437
86.816,3.368961083,0.001149138,0.009931421,-0.004529317,9.93956044,-0.032227107
86.816,3.368961083,0.003704366,0.017311887,0.003037106,9.93956044,-0.016755086
86.817,3.368961083,0.003712271,0.029783805,0.008057211,9.93956044,0.001179499
86.818,3.368961083,0.006267982,0.037158186,0.010531013,9.93956044,0.020184077
86.818,3.368961083,0.013919067,0.044529592,0.013005629,9.93956044,0.036702056
86.818,3.366414326,0.013927647,0.051898099,0.012933925,9.93956044,0.040686149
86.819,3.366414326,0.011388855,0.051621986,0.017957274,9.93956044,0.033346056
86.82,3.368961083,0.008850266,0.043701294,0.017887163,9.93956044,0.020720269
86.82,3.368961083,0.016502133,0.035777867,0.015270714,9.93956044,0.022770824
86.82,3.366414326,0.013963873,0.027851778,0.007560803,9.93956044,0.013245341
86.821,3.368961083,0.01142579,0.012281288,-0.00014834,9.93956044,-0.004402505
86.822,3.368961083,0.008887844,-0.000744487,-0.005309587,9.93956044,-0.018531037
86.822,3.366414326,0.003802461,-0.018867247,-0.013017212,9.93956044,-0.038737847
86.822,3.368961083,-0.008925519,-0.029350643,-0.015629835,9.93956044,-0.057877765
86.823,3.366414326,-0.008915525,-0.044930895,-0.025883103,9.93956044,-0.077143759
86.824,3.368961083,-0.003810288,-0.063060662,-0.031041391,9.93956044,-0.089051142
86.824,3.368961083,-0.006347683,-0.071003579,-0.043840337,9.93956044,-0.108067613
86.824,3.366414326,-0.008885001,-0.07894861,-0.054091447,9.93956044,-0.11828776
86.825,3.368961083,-0.008874683,-0.084348439,-0.061794737,9.93956044,-0.124274283
