Time,IRSensor,XAxis,YAxis,ZAxis,Velocity,1D_acc
3.144,3.39188189821948,0.00505585130469803,0.024499310401526,0.0355441221352439,7.63291139240506,0.055886394629685
3.1445,3.35113378294711,0.00250108997127151,0.0143110653200079,0.0380960350746952,7.63291139240506,0.041174891348122
3.145,3.35368054015163,0.0024938004634655,0.0168590528161529,0.0381007629126554,7.63291139240506,0.0497199947448193
3.1455,3.36641432617425,0.00503401104917069,0.0270487894948327,0.0381054073249572,7.63291139240506,0.056061502331589
3.146,3.37405459778782,0.0101216915489323,0.0194076860820624,0.0355628654849988,7.63291139240506,0.0566481739314257
3.1465,3.35622729735616,-0.007718864976555,0.011766519660037,0.0355673690918399,7.63291139240506,0.0373432291107292
3.147,3.33075972531092,-8.37841685174218e-05,0.0117670898518876,0.030477548377771,7.63291139240506,0.0405494717368023
3.1475,3.34094675412902,0.00245605583584492,0.0168621414619622,0.0355761651518621,7.63291139240506,0.0429904003535807
3.148,3.35622729735616,-0.00264692523482105,0.0117681016776507,0.0330333276428638,7.63291139240506,0.0386456112417446
3.1485,3.34094675412902,-0.00520242262380258,0.01431581357335,0.0330375307626022,7.63291139240506,0.0449031721568773
3.149,3.34858702574259,0.0100750315742851,0.0194107551477653,0.0432301668840897,7.63291139240506,0.0667302212178871
3.1495,3.35368054015163,0.00242423281065161,0.00667484733504601,0.0254043541623473,7.63291139240506,0.0398592364040729
3.15,3.35113378294711,-0.00522667165263848,-0.00351385836839738,0.0330497206848004,7.63291139240506,0.0380049953165869
3.1505,3.33839999692449,-0.00268734612386217,-0.000966303511785059,0.0254122586060791,7.63291139240506,0.0237794809611862
3.151,3.35113378294711,0.00239947727207337,-0.00606056725837495,0.033057480241228,7.63291139240506,0.0335057925220417
3.1515,3.35622729735616,-0.00779922500016654,-0.0111548964292107,0.0152313665631363,7.63291139240506,0.00747356042428447
3.152,3.33839999692449,-0.00526014219928636,-0.00860748356511421,0.0152350467230458,7.63291139240506,0.013178767282453
3.1525,3.35622729735616,-0.000173549124621025,-0.011154631032666,0.0203329350280266,7.63291139240506,0.0152410933487084
3.153,3.35877405456068,-0.0129200626531667,-0.031532637106135,-0.00258766095460056,7.63291139240506,-0.031551617831771
3.1535,3.35622729735616,-0.0205715236220827,-0.0264381048294134,0.00505718484483124,7.63291139240506,-0.0321927693492716
3.154,3.30783891047021,-0.0103900219860704,-0.0162490863318076,0.0101548693435063,7.63291139240506,-0.00958110620444328
3.1545,3.34349351133354,-0.0129464391670831,-0.0137018878425635,-0.0102188164275824,7.63291139240506,-0.0252074330132837
3.155,3.34349351133354,-0.0155029310989627,-0.0213437683895751,-0.0153098106465245,7.63291139240506,-0.0341126489557597
3.1555,3.34858702574259,-0.000226467039109137,-0.0111548765412112,-0.00511813267705188,7.63291139240506,-0.0134335238185615
3.156,3.35877405456068,-0.000235502231664449,-0.0187968406865352,-0.0178506525307603,7.63291139240506,-0.0290917534049182
3.1565,3.38169486940139,-0.0155300620419226,-0.0315333976076479,-0.0254889951376616,7.63291139240506,-0.0524027357811827
3.157,3.35622729735616,-0.0231819832055052,-0.0238919237655622,-0.0152975395602948,7.63291139240506,-0.048432017187898
3.1575,3.34858702574259,-0.00535820370601599,-0.0238922399279303,-0.0254831168356412,7.63291139240506,-0.0479365150373869
3.158,3.35113378294711,-0.0104626260013512,-0.0213453688187086,-0.0382159323120283,7.63291139240506,-0.0632189446652978
3.1585,3.3613208117652,-0.0053768338876939,-0.0187985266642563,-0.0305718117891323,7.63291139240506,-0.0440979677645302
3.159,3.35368054015163,-0.000291066732709407,-0.0111571841421921,-0.0331162130097435,7.63291139240506,-0.0457442461407063
3.1595,3.3715078405833,-0.00284807141345686,-0.0162521806119394,-0.0433020876859559,7.63291139240506,-0.0519210623437189
3.16,3.34349351133354,-0.0155954314076555,-0.0238944766031637,-0.0509409095404211,7.63291139240506,-0.0773013768099668
3.1605,3.38169486940139,-0.0105097927838178,-0.0137059700377645,-0.0407498852707604,7.63291139240506,-0.0582046262439158
3.161,3.38169486940139,-0.00287660871957907,-0.0213483167880259,-0.0509359429936219,7.63291139240506,-0.0665572124177545
3.1615,3.3715078405833,-0.00288622717393602,-0.0213489516016059,-0.0534807112676531,7.63291139240506,-0.0657073382474767
3.162,3.34858702574259,-0.00799103332482722,-0.00861333734537564,-0.045837025262538,7.63291139240506,-0.0551609880302256
3.1625,3.3613208117652,0.00983229955874926,0.00157497260815343,-0.0356462462751024,7.63291139240506,-0.029093426481652
3.163,3.37914811219687,0.00472741607038464,-0.00352033557095679,-0.0381912174978739,7.63291139240506,-0.0376567268191914
3.1635,3.34858702574259,-0.00292508230765493,-0.000973931661242713,-0.0432833502909619,7.63291139240506,-0.0451890032465474
3.164,3.36386756896973,-0.000387280862418302,0.00921424673390795,-0.0356398977363784,7.63291139240506,-0.0343431933687793
3.1645,3.34094675412902,0.00469805433536791,0.00157156428633157,-0.0381850451426025,7.63291139240506,-0.0357749838109262
3.165,3.34858702574259,-0.000406932458288763,0.0117596495081031,-0.0381831130468594,7.63291139240506,-0.0323852771182023
3.1655,3.34858702574259,0.00213078623324211,0.0270422234823939,-0.027992719875697,7.63291139240506,-0.0126656192511122
3.166,3.35368054015163,0.0097636426363866,0.0193994266123924,-0.022896650577596,7.63291139240506,0.00150182211952585
3.1665,3.35622729735616,0.00465859034010858,0.00666203618600221,-0.0279891482659718,7.63291139240506,-0.0138823529732321
3.167,3.34858702574259,-0.00299405704621869,0.0066609190241402,-0.0177989395927766,7.63291139240506,-0.00748029699332493
