Time,IRSensor,XAxis,YAxis,ZAxis,Velocity,acc_1D
238.6,3.376601355,-0.021403975,0.028338711,-0.011138863,18.09,-0.03301201
238.6,3.379148112,-0.023960972,0.012939212,-0.003324227,18.09,-0.036760203
238.6,3.371507841,-0.036706474,-0.017753464,0.004489572,18.09,-0.062538987
238.6,3.368961083,-0.03925986,-0.045908385,0.009755407,18.09,-0.083735974
238.6,3.368961083,-0.041811378,-0.079167225,0.009926179,18.09,-0.114859284
238.6,3.368961083,-0.036718285,-0.104793614,-9.24e-05,18.09,-0.147836987
238.6,3.368961083,-0.02652813,-0.112598429,-0.015206044,18.09,-0.162757154
238.6,3.368961083,-0.013788502,-0.105128856,-0.020132084,18.09,-0.15637754
238.6,3.363867569,-0.006142063,-0.095121119,-0.009776293,18.09,-0.135086787
238.6,3.366414326,-0.0010412,-0.074933341,0.008219952,18.09,-0.098517027
238.6,3.366414326,0.004061668,-0.064943494,0.031309541,18.09,-0.066352364
238.6,3.368961083,0.011714142,-0.039678884,0.046756849,18.09,-0.024765002
238.61,3.371507841,0.00663075,-0.029706516,0.04946763,18.09,-0.018798355
238.61,3.368961083,0.00664455,-0.0197427,0.054724616,18.09,-0.005968475
238.61,3.368961083,-0.000982301,-0.009787302,0.059980698,18.09,0.002771281
238.61,3.376601355,-0.00351191,0.002707052,0.05504736,18.09,0.018079968
238.61,3.379148112,-0.008586974,-9.04e-05,0.047566012,18.09,0.008627129
238.61,3.376601355,-0.016207483,0.002198659,0.037536658,18.09,-0.001550992
238.61,3.376601355,-0.008540372,-0.000614799,0.035147809,18.09,0.004180001
238.61,3.376601355,-0.005966212,-0.018719662,0.030211003,18.09,-0.014014376
238.61,3.376601355,-0.003389853,-0.049568547,0.022726234,18.09,-0.048209084
238.61,3.376601355,0.004283877,-0.08042503,0.022882032,18.09,-0.068726412
238.61,3.374054598,0.001769524,-0.098552642,0.015395622,18.09,-0.088968096
238.61,3.371507841,-0.005837745,-0.109045774,0.015549761,18.09,-0.105740317
238.61,3.368961083,-0.01089521,-0.094073544,0.02334444,18.09,-0.087759433
238.61,3.368961083,-0.008307691,-0.048541328,0.020949792,18.09,-0.042686056
238.61,3.363867569,-0.013360609,-0.015752395,0.023648608,18.09,-0.009662214
238.61,3.363867569,-0.018411243,0.009387904,0.031440916,18.09,0.022754609
238.61,3.366414326,-0.015816836,0.026879676,0.016308385,18.09,0.026313307
238.61,3.366414326,-0.013220102,0.02398675,-0.011560482,18.09,0.001100213
238.61,3.363867569,-0.008073462,0.00835103,-0.026694423,18.09,-0.024510771
238.61,3.371507841,-0.005472036,0.018181549,-0.044376161,18.09,-0.031659497
238.62,3.368961083,-0.015606111,0.022911363,-0.059511424,18.09,-0.043684113
238.62,3.368961083,-0.028285384,0.019993384,-0.069553091,18.09,-0.063548646
238.62,3.368961083,-0.03586714,0.019616809,-0.059218376,18.09,-0.062781109
238.62,3.368961083,-0.035803809,-0.001143567,-0.051431416,18.09,-0.081700685
238.62,3.361320812,-0.030642955,-0.034645878,-0.05383356,18.09,-0.111849593
238.62,3.371507841,-0.022932151,-0.050322924,-0.048594921,18.09,-0.119036637
238.62,3.368961083,6.65e-05,-0.040532779,-0.053545348,18.09,-0.10264242
238.62,3.371507841,0.025615039,-0.015464319,-0.050854935,18.09,-0.065086071
238.62,3.368961083,0.043523261,0.017240835,-0.02778797,18.09,0.000129678
238.62,3.374054598,0.051243575,0.04994107,-0.004721461,18.09,0.061660327
238.62,3.374054598,0.058966287,0.074994783,0.013250385,18.09,0.108870738
238.62,3.374054598,0.043763242,0.07711859,0.023580441,18.09,0.113412676
238.62,3.368961083,0.028562605,0.051218092,0.010985948,18.09,0.073722104
238.62,3.368961083,0.023554682,0.017671485,-0.009250326,18.09,0.027241559
238.62,3.368961083,0.016001605,0.001951438,-0.011657108,18.09,0.012171831
238.62,3.374054598,0.00845096,0.004058078,-0.003875704,18.09,0.009180883
238.62,3.368961083,-0.004192431,0.013802511,0.00645255,18.09,0.014744187
238.62,3.368961083,-0.019381001,0.026090412,0.011686321,18.09,0.014254861
238.62,3.368961083,-0.024376883,0.030732952,0.009278496,18.09,0.011597046
238.62,3.368961083,-0.031917946,0.020088514,0.00432335,18.09,-0.000699788
238.62,3.368961083,-0.024171176,0.001798975,-0.003179075,18.09,-0.009968984
238.63,3.368961083,-0.018969591,0.001337046,-0.01322874,18.09,-0.008376514
238.63,3.368961083,-0.0163132,0.003419364,-0.007995749,18.09,0.006983985
238.63,3.371507841,-0.018749589,0.008046093,0.004878568,18.09,0.012697777
238.63,3.368961083,-0.016088467,0.017764662,0.007564359,18.09,0.023202224
238.63,3.366414326,-0.010877413,0.0147444,0.007703022,18.09,0.023555708
238.63,3.366414326,-0.005664007,-0.001014551,-0.002346752,18.09,0.007274719
238.63,3.363867569,-0.002995845,-0.019323024,-0.017490693,18.09,-0.019059751
238.63,3.361320812,0.007317357,-0.040180859,-0.032634534,18.09,-0.045496935
238.63,3.363867569,0.020180427,-0.055946124,-0.05796675,18.09,-0.076746248
238.63,3.361320812,0.040688481,-0.048787871,-0.065468918,18.09,-0.063032521
238.63,3.363867569,0.053556075,-0.031442293,-0.05768816,18.09,-0.03164582
