Time,IRSensor,XAxis,YAxis,ZAxis,Velocity,acc_1D
12.422,3.381694869,-0.013163941,-0.021239139,-0.009894115,3.76875,-0.059996251
12.422,3.381694869,-0.008036343,-0.010901212,-0.009866381,3.76875,-0.041400395
12.422,3.379148112,-0.005460395,-0.008206257,-0.007291961,3.76875,-0.028537019
12.423,3.371507841,-0.005436116,-0.008059808,-0.00217088,3.76875,-0.018606604
12.424,3.371507841,-0.002868391,-0.005367415,-0.002144503,3.76875,-0.010566322
12.424,3.371507841,-0.005399946,-0.005223663,0.000428539,3.76875,-0.015036525
12.424,3.374054598,-0.000292954,-0.002534085,0.003001123,3.76875,-0.011120109
12.425,3.371507841,0.004809857,-0.002393243,0.003026112,3.76875,-0.010817691
12.426,3.371507841,0.004813311,0.000293314,0.003050636,3.76875,-0.004454578
12.426,3.374054598,0.007360111,0.005525519,0.000527568,3.76875,-0.001303359
12.426,3.376601355,0.007355104,0.010756073,0.010739662,3.76875,0.011561481
12.427,3.368961083,0.007345861,0.008343136,0.015857031,3.76875,0.012897218
12.428,3.371507841,0.007332342,0.008475695,0.01587968,3.76875,0.018163005
12.428,3.371507841,0.00731455,0.008606429,0.018448975,3.76875,0.017855914
12.428,3.374054598,0.009840036,0.011282565,0.021017775,3.76875,0.027094015
12.429,3.368961083,0.007266077,0.016504031,0.018491856,3.76875,0.030033884
12.43,3.379148112,0.007235383,0.021723526,0.018512581,3.76875,0.035122728
12.43,3.379148112,0.009747947,0.019299212,0.026174203,3.76875,0.041779762
12.43,3.379148112,0.009708614,0.021967339,0.031288222,3.76875,0.049869828
12.431,3.371507841,0.00966496,0.024633344,0.028760383,3.76875,0.050141058
12.432,3.374054598,0.014712124,0.024749915,0.033873444,3.76875,0.059020368
12.432,3.371507841,0.014659801,0.024864283,0.033891781,3.76875,0.060577495
12.433,3.379148112,0.01460315,0.027523647,0.023721132,3.76875,0.056929332
12.433,3.381694869,0.014542168,0.030180701,0.023738497,3.76875,0.062543014
12.434,3.379148112,0.017024436,0.022646372,0.026302525,3.76875,0.062642109
12.434,3.384241627,0.009312085,0.020204158,0.033960319,3.76875,0.064268648
