Time,IRSensor,XAxis,YAxis,ZAxis,Velocity,acc_1D
39.965,3.366414326,-0.002069354,-0.027500298,-0.015417142,6.03,-0.016170969
39.966,3.379148112,0.013235288,-0.030036867,-0.022930902,6.03,-0.016962331
39.966,3.374054598,0.005610726,-0.019838433,-0.017710881,6.03,-0.010290457
39.966,3.371507841,0.003080234,-0.030019402,-0.032869788,6.03,-0.031933602
39.967,3.368961083,0.003096249,-0.019823646,-0.02255934,6.03,-0.016852491
39.968,3.371507841,-0.004531523,-0.030007303,-0.027533597,6.03,-0.029425876
39.968,3.376601355,0.005672639,-0.012172502,-0.027415621,6.03,-0.008179585
39.968,3.366414326,0.003137854,-0.022358897,-0.027299635,6.03,-0.019089934
39.969,3.371507841,-0.001945627,-0.027452193,-0.027185721,6.03,-0.028396443
39.97,3.371507841,0.000612549,-0.014716057,-0.021979626,6.03,-0.012335396
39.97,3.371507841,-0.007020712,-0.02745392,-0.032058405,6.03,-0.031236724
39.97,3.368961083,0.005725514,-0.012173357,-0.021762321,6.03,-0.007122119
39.971,3.361320812,-0.007005116,-0.01981954,-0.019109754,6.03,-0.017037961
39.972,3.374054598,0.003191289,-0.009636383,-0.01645941,6.03,-0.006414147
39.972,3.361320812,0.003196308,-0.007096403,-0.011264132,6.03,0.001287873
39.973,3.368961083,0.003200164,-0.012199679,-0.006071123,6.03,0.002664369
39.973,3.368961083,0.005750479,0.003073656,0.004213871,6.03,0.018851328
39.974,3.371507841,-0.001890625,-0.004579803,0.001760976,6.03,0.010116483
39.974,3.368961083,0.010847712,0.008143321,0.004399998,6.03,0.023179566
39.974,3.361320812,0.000656768,-0.002060338,0.007036703,6.03,0.010971105
39.975,3.376601355,0.005750101,0.00811255,0.007123933,6.03,0.014588702
39.976,3.361320812,0.003199577,0.008094928,0.017397288,6.03,0.020497375
39.976,3.376601355,0.005743039,0.008075807,0.007291279,6.03,0.011062878
39.976,3.368961083,0.010832915,0.015696957,0.020106979,6.03,0.032989326
39.977,3.368961083,0.005731338,0.005485793,0.007449046,6.03,0.008725605
39.978,3.376601355,0.010818863,0.008009402,0.015165688,6.03,0.01509817
39.978,3.368961083,0.00061981,-0.002204775,0.017785649,6.03,0.007372889
39.979,3.374054598,0.010800144,0.002863086,0.020403175,6.03,0.013631412
39.979,3.371507841,0.010789016,0.002834921,0.023018233,6.03,0.00976297
39.98,3.368961083,0.01077672,-0.002289273,0.025630843,6.03,0.013538909
39.98,3.368961083,0.010763235,0.010415833,0.03842947,6.03,0.028492319
39.98,3.361320812,0.008201005,0.000194112,0.028301516,6.03,0.010926186
39.981,3.374054598,0.015827881,0.005254442,0.043642329,6.03,0.025600895
39.982,3.363867569,0.003072997,0.010313262,0.041150788,6.03,0.023890483
39.982,3.376601355,0.015792676,0.010276068,0.041203884,6.03,0.03094252
