Brick,,,,,
TIME,delta,Vel(km/h),Acc x (m/s^2),Acc y (m/s^2),Acc z (m/s^2)
284368,760,0,1.8,4.9,9.61
284372,760,0,1.8,4.9,9.53
284377,760,0,1.92,4.98,9.85
284380,760,0,1.84,4.94,9.73
284384,760,0,1.8,4.86,9.65
292482,760,0,2.71,5.14,9.77
292486,760,0,2.71,5.02,9.57
292490,760,0,2.59,5.1,9.65
292493,760,0,2.55,5.06,9.38
292497,760,0,2.82,4.9,9.57
292501,760,0,2.9,5.18,9.92
292505,760,0,2.9,4.98,9.45
292508,760,0,2.98,5.06,9.53
292512,760,0,3.02,5.06,9.38
292516,760,0,3.1,5.06,9.26
292520,760,0,3.02,5.1,9.57
292524,760,0,3.02,5.06,9.34
292528,760,0,3.06,5.1,9.26
292532,760,0,3.14,5.18,9.57
292536,760,0,3.02,5.14,9.49
292539,760,0,3.22,5.1,9.57
292543,760,0,3.22,5.22,9.41
292547,760,0,3.22,5.02,9.45
292551,760,0,3.37,5.26,9.38
292554,760,0,3.37,5.02,9.57
292558,760,0,3.41,5.06,9.53
292562,760,0,3.37,4.98,9.49
292567,760,0,3.33,5.1,9.77
292570,760,0,3.22,5.02,9.45
292574,760,0,3.3,5.22,9.38
292578,760,0,3.3,5.06,9.34
292582,760,0,3.18,5.1,9.61
292585,760,0,3.02,5.14,9.34
292589,760,0,3.14,5.18,9.3
292593,760,0,2.98,5.06,9.49
292597,760,0,3.22,5.14,9.53
292600,760,0,3.02,5.1,9.57
292604,760,0,3.14,4.9,9.77
292609,760,0,3.26,4.98,9.69
292613,760,0,2.75,5.22,10.4
292616,760,0,3.22,5.06,9.1
292620,760,0,3.06,5.26,9.18
292624,760,0,2.98,5.26,9.14
292628,760,0,2.98,5.26,9.18
292631,760,0,2.94,5.33,9.1
292635,760,0,2.94,5.26,9.57
292639,760,0,2.98,5.22,9.34
292643,760,0,2.94,5.33,9.1
292646,760,0,2.98,5.26,9.45
292651,760,0,2.98,5.45,9.49
292655,760,0,2.98,5.57,9.22
292659,760,0,2.94,5.45,9.3
292662,760,0,2.98,5.45,9.22
292666,760,0,2.86,5.41,9.34
292670,760,0,2.67,5.53,9.22
292674,760,0,2.71,5.49,9.45
292677,760,0,2.75,5.37,9.14
292681,760,0,2.43,5.37,9.22
292685,760,0,2.55,5.41,9.26
292689,760,0,2.47,5.45,9.1
292692,760,0,2.51,5.41,9.1
292697,760,0,2.39,5.37,9.38
292701,760,0,2.55,5.26,9.14
292705,760,0,2.51,5.3,9.26
292709,760,0,2.51,5.41,9.1
292712,760,0,2.55,5.18,9.49
292716,760,0,2.63,5.14,9.65
292720,760,0,2.67,5.14,9.38
292724,760,0,2.75,5.22,9.22
292727,760,0,2.67,5.45,9.26
292731,760,0,2.75,5.02,9.41
292736,760,0,2.82,5.22,9.18
292740,760,0,2.98,5.06,9.22
292743,760,0,2.82,5.06,9.3
292747,760,0,2.9,5.1,9.3
292751,760,0,2.9,5.26,9.49
292755,760,0,2.98,5.18,9.26
292758,760,0,2.94,5.14,9.18
292762,760,0,3.14,5.26,9.26
292766,760,0,2.86,4.94,9.3
292770,760,0,2.98,5.26,9.38
292773,760,0,2.94,5.22,9.41
292777,760,0,2.98,5.33,9.1
292782,760,0,2.9,5.33,9.41
292786,760,0,2.79,5.41,8.98
292789,760,0,2.82,5.37,9.26
292793,760,0,2.86,5.33,8.83
292797,760,0,2.63,5.37,9.26
292801,760,0,2.55,5.26,9.41
292804,760,0,2.63,5.26,9.3
292808,760,0,2.55,5.65,9.18
292812,760,0,2.51,5.65,9.18
292816,760,0,2.55,5.45,9.1
292819,760,0,2.39,5.61,9.41
292824,760,0,2.39,5.37,8.94
292828,760,0,2.35,5.41,9.26
292832,760,0,2.2,5.33,9.1
292835,760,0,2.24,5.45,9.22
292839,760,0,2.16,5.45,9.22
292843,760,0,2.16,5.37,9.3
292847,760,0,2.04,5.65,9.3
292850,760,0,2.31,5.22,9.65
292854,760,0,2.31,5.26,9.49
292858,760,0,2.04,5.33,9.61
292862,760,0,2.28,5.1,9.57
292866,760,0,2.2,5.33,9.77
292870,760,0,2.35,5.18,9.41
292874,760,0,2.39,5.49,9.18
292878,760,0,2.39,5.26,9.14
